ID,Предмет,Класс,Задание,ЕстьАудио,ЕстьКартинки
vpr_sd_945777,literature,8,"Как называется жанр лирики, представляющий собой стихотворение, посвященное какому-либо событию, герою или особому событию?",Нет,Нет
vpr_sd_945906,literature,8,"Как называется структура художественного произведения, его построение?",Нет,Нет
vpr_sd_945841,literature,8,Как называется итог кульминации художественного произведения?,Нет,Нет
vpr_sd_945872,literature,8,Как называется жанр лирики в форме письма или обращения к кому-либо?,Нет,Нет
vpr_sd_945882,literature,8,"Как называется авторская трактовка темы: то, что особенно интересует автора, является для него самым существенным вопросом жизни и становится предметом изображения и размышления в литературном произведении?",Нет,Нет
vpr_sd_945799,literature,8,"Никто не стеснял моей свободы. Я делал что хотел, особенно с тех пор, как я расстался с последним моим гувернером-французом, который никак не мог привыкнуть к мысли, что он упал «как бомба» (comme une bombe) в Россию, и с ожесточенным выражением на лице по целым дням валялся на постели. Отец обходился со мной равнодушно-ласково; матушка почти не обращала на меня внимания, хотя у ней, кроме меня, н",Нет,Нет
vpr_sd_945774,literature,8,"Бабье лето Ох, грибок ты мой, грибочек, белый груздь! То шатаясь причитает в поле — Русь. Помогите — на ногах нетверда! Затуманила меня кровь-руда! И справа и слева Кровавые зевы, И каждая рана: — Мама! И только и это И внятно мне, пьяной, Из чрева — и в чрево: — Мама! Все рядком лежат — Не развесть межой. Поглядеть: солдат. Где свой, где чужой? Белый был — красным стал: Кровь обагрила. Красным бы",Нет,Нет
vpr_sd_945791,literature,8,"Утренняя заря только что начинает окрашивать небосклон над Сапун-горою; темно-синяя поверхность моря сбросила с себя уже сумрак ночи и ждет первого луча, чтобы заиграть веселым блеском; с бухты несет холодом и туманом; снега нет — все черно, но утренний резкий мороз хватает за лицо и трещит под ногами, и далекий неумолкаемый гул моря, изредка прерываемый раскатистыми выстрелами в Севастополе, один",Нет,Нет
vpr_sd_945809,literature,8,"Можжевеловый куст Я увидел во сне можжевеловый куст, Я услышал вдали металлический хруст, Аметистовых ягод услышал я звон, И во сне, в тишине, мне понравился он. Я почуял сквозь сон легкий запах смолы. Отогнув невысокие эти стволы, Я заметил во мраке древесных ветвей Чуть живое подобье улыбки твоей. Можжевеловый куст, можжевеловый куст, Остывающий лепет изменчивых уст, Легкий лепет, едва отдающий ",Нет,Нет
vpr_sd_945862,literature,8,"Анчар В пустыне чахлой и скупой, На почве, зноем раскаленной, Анчар, как грозный часовой, Стоит — один во всей вселенной. Природа жаждущих степей Его в день гнева породила И зелень мертвую ветвей И корни ядом напоила. Яд каплет сквозь его кору, К полудню растопясь от зною, И застывает ввечеру Густой прозрачною смолою. К нему и птица не летит И тигр нейдет — лишь вихорь черный На древо смерти набеж",Нет,Нет
vpr_sd_945915,literature,8,"Кибитка подъехала к крыльцу комендантского дома. Народ узнал колокольчик Пугачёва и толпою бежал за нами. Швабрин встретил самозванца на крыльце. Он был одет казаком и отрастил себе бороду. Изменник помог Пугачёву вылезть из кибитки, в подлых выражениях изъявляя свою радость и усердие. Увидя меня, он смутился; но вскоре оправился, протянул мне руку, говоря: «И ты наш? Давно бы так!» Я отворотился ",Нет,Нет
vpr_sd_945857,literature,8,"* * * Быть знаменитым некрасиво, Не это подымает ввысь. Не надо заводить архива, Над рукописями трястись. Цель творчества — самоотдача, А не шумиха, не успех. Позорно, ничего не знача, Быть притчей на устах у всех. Но надо жить без самозванства, Так жить, чтобы в конце концов Привлечь к себе любовь пространства, Услышать будущего зов. И надо оставлять пробелы В судьбе, а не среди бумаг, Места и гл",Нет,Нет
vpr_sd_945902,literature,8,"Какое литературное произведение, рассмотренное Вами на уроках литературы в этом учебном году или прочитанное самостоятельно, раскрывает тему стойкости человека перед лицом испытаний? Чему учит это произведение? Дайте развёрнутый ответ, опираясь на текст выбранного Вами произведения.",Нет,Нет
vpr_sd_945752,literature,8,"Как называется род литературы, к которому относятся произведения, предназначенные для постановки на сцене?",Нет,Нет
vpr_sd_945848,literature,8,"Валерик (фрагмент) Я к вам пишу случайно; право, Не знаю как и для чего. Я потерял уж это право. И что скажу вам? — ничего! Что помню вас? — но, боже правый, Вы это знаете давно; И вам, конечно, все равно. И знать вам также нету нужды, Где я? что я? в какой глуши? Душою мы друг другу чужды, Да вряд ли есть родство души. Страницы прошлого читая, Их по порядку разбирая Теперь остынувшим умом, Разуве",Нет,Нет
vpr_sd_945788,literature,8,"Бабье лето Нет даже слова такого В толстых чужих словарях. Август. Ущерб. Увяданье. Милый, единственный прах. Русское лето в России. Запахи пыльной травы. Небо какой-то старинной, Тёмной, густой синевы. Утро. Пастушья жалейка. Поздний и горький волчец. Эх, если б узкоколейка Шла из Парижа в Елец... ( Дон-Аминадо )",Нет,Нет
vpr_sd_945828,literature,8,"Мы уселись. «В Белогорскую крепость!» — сказал Пугачев широкоплечему татарину, стоя правящему тройкою. Сердце мое сильно забилось. Лошади тронулись, колокольчик загремел, кибитка полетела... «Стой! стой!» — раздался голос, слишком мне знакомый, — и я увидел Савельича, бежавшего нам на встречу. Пугачев велел остановиться. «Батюшка, Петр Андреич!» — кричал дядька. — «Не покинь меня на старости лет п",Нет,Нет
vpr_sd_945918,literature,8,"Как называется средство создания художественных образов — форма воссоздания жизни в литературном произведении, основанная на творческом воображении автора, не имеющая прямых соответствий в реальности?",Нет,Нет
vpr_sd_945726,literature,8,"Как называется вид комического, представляющий собой скрытую насмешку над изображаемым героем или явлением?",Нет,Нет
vpr_sd_945896,literature,8,"Как называется высшая точка напряжения, столкновение противоборствующих сил, пик эмоционального накала конфликта?",Нет,Нет
vpr_sd_945716,literature,8,"Как называется стихотворение, в основе которого чаще всего лежит историческое событие, предание с острым, напряжённым сюжетом и характерной чертой которого является сочетание реального и фантастического, лирического и эпического (наличие сюжета)?",Нет,Нет
vpr_sd_945790,literature,8,"Как называется двусложная стопа, в которой ударение падает второй слог?",Нет,Нет
vpr_sd_945834,literature,8,"Как называется художественное направление в литературе XVII – начала XIX в., важнейшей чертой которого является высокая гражданственность тематики, обращение к образцам и формам античной литературы как к эстетическому эталону?",Нет,Нет
vpr_sd_945885,literature,8,"ДЕЙСТВИЕ ПЯТОЕ Явление VIII Городничий. (бьет себя по лбу). Как я — нет, как я, старый дурак? Выжил, глупый баран, из ума!.. Тридцать лет живу на службе; ни один купец, ни подрядчик не мог провести; мошенников над мошенниками обманывал, пройдох и плутов таких, что весь свет готовы обворовать, поддевал на уду. Трех губернаторов обманул!.. Что губернатор! (махнул рукой) нечего и говорить про губерна",Нет,Нет
vpr_sd_945802,literature,8,"Он не вернулся из боя Почему всё не так? Вроде всё как всегда: То же небо — опять голубое, Тот же лес, тот же воздух и та же вода, Только он не вернулся из боя. Мне теперь не понять, кто же прав был из нас В наших спорах без сна и покоя. Мне не стало хватать его только сейчас — Когда он не вернулся из боя. Он молчал невпопад и не в такт подпевал, Он всегда говорил про другое, Он мне спать не давал",Нет,Нет
vpr_sd_945753,literature,8,"Мцыри Отрывок И вспомнил я отцовский дом, Ущелье наше и кругом В тени рассыпанный аул; Мне слышался вечерний гул Домой бегущих табунов И дальний лай знакомых псов. Я помнил смуглых стариков, При свете лунных вечеров Против отцовского крыльца Сидевших с важностью лица; И блеск оправленных ножон Кинжалов длинных… и как сон Всё это смутной чередой Вдруг пробегало предо мной. А мой отец? он как живой ",Нет,Нет
vpr_sd_945780,literature,8,"Ленинград Я вернулся в мой город, знакомый до слез, До прожилок, до детских припухлых желез. Ты вернулся сюда — так глотай же скорей Рыбий жир ленинградских речных фонарей. Узнавай же скорее декабрьский денек, Где к зловещему дегтю подмешан желток. Петербург, я еще не хочу умирать: У тебя телефонов моих номера. Петербург, у меня еще есть адреса, По которым найду мертвецов голоса. Я на лестнице чер",Нет,Нет
vpr_sd_945806,literature,8,"Действие III, явление VI Хлестаков. Да деревня, впрочем, тоже имеет свои пригорки, ручейки... Ну, конечно, кто же сравнит с Петербургом! Эх, Петербург! что за жизнь, право! Вы, может быть, думаете, что я только переписываю: нет, начальник отделения со мной на дружеской ноге. Этак ударит по плечу: «Приходи, братец, обедать!» Я только на две минуты захожу в департамент, с тем только, чтобы сказать: ",Нет,Нет
vpr_sd_945820,literature,8,"Через шесть дней после истории с водой и котом из домкома к Шарикову явился молодой человек, оказавшийся женщиной, и вручил ему документы, которые Шариков немедленно заложил в карман пиджака и немедленно после этого назвал доктора Борменталя: — Борменталь! — Нет, уж вы меня по имени отчеству, пожалуйста, называйте, — отозвался Борменталь, меняясь в лице. Нужно заметить, что в эти шесть дней хирург",Нет,Нет
vpr_sd_945816,literature,8,"О КРАСОТЕ ЧЕЛОВЕЧЕСКИХ ЛИЦ Есть лица, подобные пышным порталам, Где всюду великое чудится в малом. Есть лица — подобия жалких лачуг, Где варится печень и мокнет сычуг. Иные холодные, мертвые лица Закрыты решетками, словно темница. Другие — как башни, в которых давно Никто не живет и не смотрит в окно. Но малую хижинку знал я когда-то, Была неказиста она, небогата, Зато из окошка ее на меня Струило",Нет,Нет
vpr_sd_945895,literature,8,"— Дайте мне руку, — сказал я моей незнакомке, — и он не посмеет больше к нам приставать. Она молча подала мне свою руку, еще дрожавшую от волнения и испуга. О, незваный господин! как я благословлял тебя в эту минуту! Я мельком взглянул на нее: она была премиленькая и брюнетка — я угадал; на ее черных ресницах еще блестели слезинки недавнего испуга или прежнего горя, — не знаю. Но на губах уже свер",Нет,Нет
vpr_sd_945842,literature,8,"В ту осень много было у Матрёны обид. Вышел перед тем новый пенсионный закон, и надоумили её соседки добиваться пенсии. Была она одинокая кругом, а с тех пор, как стала сильно болеть, — и из колхоза её отпустили. Наворочено было много несправедливостей с Матрёной: она была больна, но не считалась инвалидом; она четверть века проработала в колхозе, но потому что не на заводе — не полагалось ей пенс",Нет,Нет
vpr_sd_945727,literature,8,"Старик! я слышал много раз, Что ты меня от смерти спас — Зачем? Угрюм и одинок, Грозой оторванный листок, Я вырос в сумрачных стенах Душой дитя, судьбой монах. Я никому не мог сказать Священных слов «отец» и «мать». Конечно, ты хотел, старик, Чтоб я в обители отвык От этих сладостных имён, — Напрасно: звук их был рождён Со мной. И видел у других Отчизну, дом, друзей, родных, А у себя не находил Не",Нет,Нет
vpr_sd_945838,literature,8,"Прощание А напоследок я скажу: прощай, любить не обязуйся. С ума схожу. Иль восхожу к высокой степени безумства. Как ты любил? — ты пригубил погибели. Не в этом дело. Как ты любил? — ты погубил, но погубил так неумело. Жестокость промаха... О, нет тебе прощенья. Живо тело и бродит, видит белый свет, но тело мое опустело. Работу малую висок еще вершит. Но пали руки, и стайкою, наискосок, уходят зап",Нет,Нет
