ID,Предмет,Класс,Задание,ЕстьАудио,ЕстьКартинки
vpr_sd_945702,math,5,Объём воды в бочке составляет 95 л. В какое количество полных четырёхлитровых банок можно разлить воду из бочки?,Нет,Нет
vpr_sd_945667,math,5,"Из пшеницы получается 80% муки. Сколько тонн пшеницы смололи, если получили 2,4 т муки?",Нет,Нет
vpr_sd_946042,math,5,"Ночью к мосту через речку подошла семья: мальчик, мама, папа и бабушка. Мост выдерживает только двоих. Двигаться они могут со скоростью того, кто идёт медленнее, и при этом у них обязательно должен быть фонарик. За какое наименьшее время семья сможет переправиться на противоположный берег, если в одиночку для перехода через мост требуется: мальчику — 2 минуты, папе — 1 минута, маме — 5 минут, бабу",Нет,Нет
vpr_sd_945967,math,5,На диаграмме показан средний балл участников 10 стран в тестировании учащихся 8-го класса по математике в 2007 году (по 1000-балльной шкале). Используя диаграмму ответьте на вопрос.,Нет,Нет
vpr_sd_945974,math,5,"Ниже приведены данные о количестве различных отметок по математике за четвёртую четверть в разных классах одной школы. Используя эти данные, ответь на вопросы. Класс | Отметка «3» | Отметка «4» | Отметка «5» // 4 «А» | 6 | 11 | 6 // 4 «Б» | 2 | 13 | 8 // 4 «В» | 5 | 12 | 5 // 4 «Г» | 7 | 9 | 10",Нет,Нет
vpr_sd_945959,math,5,"На диаграмме показана среднемесячная температура воздуха в Минске за каждый месяц 2003 года. По горизонтали указываются месяцы, по вертикали — температура в градусах Цельсия. Используя диаграмму, ответьте на вопрос.",Нет,Да
vpr_sd_945962,math,5,"На диаграмме показан средний балл участников 10 стран в тестировании учащихся 4-го класса, по естествознанию в 2007 году (по 1000-балльной шкале). Используя диаграмму, ответьте на вопрос.",Нет,Да
vpr_sd_945976,math,5,"Ниже приведены данные за три года о количестве дождливых дней в июне-октябре в Старом Осколе. Используя эти данные, ответь на вопрос. Месяц | 2013 год | 2014 год | 2015 год // Июнь | 11 | 6 | 8 // Июль | 8 | 3 | 8 // Август | 9 | 5 | 0 // Сентябрь | 13 | 4 | 1 // Октябрь | 7 | 3 | 5",Нет,Нет
vpr_sd_945953,math,5,На игре КВН судьи поставили следующие оценки командам за конкурсы. Команда | Баллы за конкурс «Приветствие» | Баллы за конкурс «СТЭМ» | Баллы за музыкальный конкурс // «АТОМ» | 28 | 22 | 25 // «Шумы» | 29 | 20 | 23 // «Топчан» | 26 | 21 | 27 // «Лёлек и Болек» | 24 | 24 | 29,Нет,Нет
vpr_sd_945955,math,5,"В таблице показано распределение медалей на Летних Олимпийских играх 1980 года в Москве среди команд, занявших первые пять мест по количеству золотых медалей. Места | Команды | Медали // Золотые | Серебряные | Бронзовые // 1 | СССР | 80 | 69 | 46 // 2 | ГДР | 47 | 37 | 42 // 3 | Болгария | 8 | 16 | 17 // 4 | Куба | 8 | 7 | 5 // 5 | Италия | 8 | 3 | 4",Нет,Нет
