ID,Предмет,Класс,Задание,ЕстьАудио,ЕстьКартинки
vpr_sd_945956,social,6,"Специалисты Центра «Журавушка» провели опрос среди обучающихся 6-х классов о том, какой способ поведения в конфликтной ситуации предпочитают шестиклассники. Результаты опроса (в % от числа отвечавших) представлены в графическом виде. 1. Как ответила наибольшая доля опрошенных? Предположите почему. 2. Как Вы оцениваете выбор большинства: позволит ли такая позиция быстро разрешать конфликты среди ше",Нет,Да
vpr_sd_945396,social,6,"В стране Z проводился опрос о том, какое влияние средства массовой информации (СМИ) оказывают на развитие, воспитание и образование подростков. Результаты опроса (в % от числа отвечавших) представлены в графическом виде. 1. Как ответила наибольшая доля опрошенных? Предположите почему. 2. Можно ли сказать, что большинство опрошенных оценивают деятельность СМИ положительно? Выскажите свою позицию по",Нет,Да
vpr_sd_946016,social,6,"Установите соответствие между примерами и видами потребностей: к каждому элементу, данному в первом столбце, подберите соответствующий элемент из второго столбца. ПРИМЕРЫ А) отдых и сон Б) общение с друзьями В) самоуважение Г) самосохранение ВИДЫ ПОТРЕБНОСТЕЙ 1) биологические 2) социальные Запишите в ответ цифры, расположив их в порядке, соответствующем буквам: A | Б | В | Г // | | |",Нет,Нет
vpr_sd_945950,social,6,"Великому русскому полководцу А. В. Суворову принадлежит следующее высказывание: «Искренность отношений, правда в общении — вот дружба». 1. Как Вы понимаете смысл слова «дружба»? 2. Дайте своё объяснение смысла высказывания. 3. Как Вы думаете, почему друзья и дружба важны для каждого человека?",Нет,Нет
vpr_sd_946054,social,6,"Проповедь Папы Римского Урбана II привела к серии военных походов организованных европейцами, которые вошли в историю как Крестовые походы. Взаимосвязь каких сфер общественной жизни иллюстрирует данный пример? Поясните свой ответ.",Нет,Нет
vpr_sd_945991,social,6,"При описании какой сферы общества используются слова «демократия», «федерация»? Поясните свой ответ.",Нет,Нет
vpr_sd_945813,social,6,"Когда человек заболевает, ему нужно измерить температуру. Сейчас всё больше семей использует не ртутные, а электронные термометры, хотя цена их выше. С чем связан рост популярности электронных термометров? Чем могла бы руководствоваться Ваша семья при выборе этого медицинского прибора? (Укажите любые два мотива.)",Нет,Да
vpr_sd_946117,social,6,"Привлекая обществоведческие знания, составьте краткое (из 5—7 предложений) сообщение о субъекте РФ, в котором Вы проживаете, используя все приведённые ниже понятия: Субъект РФ, федеральный округ, герб субъекта, флаг субъекта, столица субъекта (административный центр), одна из достопримечательностей субъекта.",Нет,Нет
vpr_sd_945977,social,6,"Привлекая обществоведческие знания, составьте краткое (из 5–7 предложений) сообщение о нашей стране, используя все приведённые ниже понятия: Российская Федерация, Конституция РФ, Президент РФ, Государственная Дума, Совет Федерации, государственные символы.",Нет,Нет
vpr_sd_945402,social,6,"Каждый гражданин России имеет право на образование. 1. Как Вы думаете, почему в соответствии с Конституцией РФ именно на родителей возложена обязанность обеспечить получение детьми основного общего образования? 2. Составьте рассказ о своей учёбе, используя следующий план. 1) Какие учебные предметы в школе вызывают у Вас особый интерес? Почему? 2) Какие кружки и дополнительные занятия Вы посещаете?",Нет,Нет
vpr_sd_945380,social,6,"В государстве Z был проведён опрос о том, должны ли родители школьников участвовать в планировании образовательного процесса своих детей. Результаты опроса (в % от числа отвечавших) представлены в графическом виде. 1. Какая группа опрошенных в наибольшей степени поддерживает инициативу активного участия родителей в планировании образовательного процесса своих детей? Предположите почему. 2. Как Вы ",Нет,Да
vpr_sd_945860,social,6,"Борьба за равноправие женщин в обществе продолжалась столетия. В 1649 г. парламент Англии рассматривал обращение группы женщин: они добивались равноправия в «государственных делах». Прошение отклонили. Парламентарии ответили, что женщин в политической жизни представляют их мужья, а им самим следует заниматься домашним хозяйством и мыть посуду. Только в 1918 г. британские женщины, достигшие 30 лет,",Нет,Нет
vpr_sd_946046,social,6,Государство X издало закон об отмене цензуры в СМИ. Взаимосвязь каких сфер общественной жизни иллюстрирует данный пример? Поясните свой ответ.,Нет,Нет
vpr_sd_946138,social,6,"В современном мире создание семьи связано с достижением благополучия, счастья (см. фотографию). 1. Как Вы думаете, почему для подавляющего большинства людей семья представляет большую ценность? (Приведите два объяснения.) 2. Достаточно ли одного желания быть счастливым для создания крепкой семьи? Своё мнение обоснуйте.",Нет,Да
vpr_sd_945665,social,6,"Привлекая обществоведческие знания, составьте краткое (из 5—7 предложений) сообщение о нашей стране, используя все приведённые ниже понятия: Российская Федерация, Конституция РФ, Президент РФ, исполнительная власть, законодательная власть, государственные символы.",Нет,Нет
vpr_sd_945954,social,6,"Общение является важной потребностью человека и одним из видов его деятельности. 1. Как Вы думаете, почему людям необходимо общение? 2. Составьте рассказ о своём общении, используя следующий план. 1) Каковы цели Вашего общения со сверстниками? Какие средства общения Вы обычно используете? 2) В каких случаях Вы испытываете трудности в общении со сверстниками? Как Вы обычно преодолеваете эти труднос",Нет,Нет
vpr_sd_946136,social,6,"В ходе социологического опроса совершеннолетних граждан страны Z им задавали вопрос: «Как Вы думаете, почему люди занимаются предпринимательством?» 1. Как ответила наибольшая доля опрошенных? Предположите почему. 2. Много или мало опрошенных считают, что люди занимаются предпринимательской деятельностью с целью реализовать свои идеи? Выскажите свою позицию по этому вопросу. Объясните свой ответ. 3",Нет,Да
vpr_sd_945872,social,6,"Прочитайте фрагмент повести А. де Сент-Экзюпери «Маленький принц». Во время одного из путешествий Маленький принц познакомился с Лисом и рассказал ему о розе, которую он очень любил. А Лис открыл Маленькому принцу секрет. «Вот мой секрет, он очень прост: зорко одно лишь сердце. Самого главного глазами не увидишь. — Самого главного глазами не увидишь, — повторил Маленький принц, чтобы лучше запомни",Нет,Да
vpr_sd_946007,social,6,Правительство приняло постановление о повышении размера пенсий. Взаимосвязь каких сфер общественной жизни иллюстрирует данный пример? Поясните свой ответ.,Нет,Нет
vpr_sd_945368,social,6,"Люди не всегда выбрасывают мусор в специально отведённых местах (см. фотографию). 1. В чём заключается опасность подобных действий людей (приведите два объяснения опасности)? 2. Как, по Вашему мнению, можно предотвратить подобные действия людей?",Нет,Да
vpr_sd_945993,social,6,"Привлекая обществоведческие знания, составьте краткое (из 5–7 предложений) сообщение о нашей стране, используя все приведённые ниже понятия: Российская Федерация, Конституция, столица, государственный флаг, государственный герб, государственный гимн.",Нет,Нет
vpr_sd_945861,social,6,В стране Z был проведён опрос среди совершеннолетних жителей на тему: «Необходимо ли ввести специальные уроки этики в школе?» Результаты опроса (в % от числа опрошенных) представлены на диаграмме. Какой вариант ответа выбрало большинство опрошенных? Предположите почему (выскажите не менее двух предположений).,Нет,Да
