ID,Предмет,Класс,Задание,ЕстьАудио,ЕстьКартинки
vpr_sd_946009,physics,11,"Прочитайте текст и вставьте пропущенные слова. Слова в ответе могут повторяться. 1) сохраняется 2) увеличивается 3) уменьшается У «правильного» велосипедиста есть правило: скорость движения ___________ по мере приближения к подъёму дороги. Это связано с тем, что при подъёме __________ потенциальная энергия силы тяжести. Следовательно, кинетическая энергия велосипедиста __________, и возрастает шан",Нет,Нет
vpr_sd_945527,physics,11,"Плотность газа в закрытом сосуде можно уменьшить, если: 1) не меняя объём и массу газа, сильно его нагреть 2) не меняя температуру и массу газа, увеличить его объём 3) не меняя температуру и объём газа, дополнительно ввести некоторую массу газа в сосуд 4) не меняя массу газа, сильно его сжать и нагреть 5) не меняя объём, выпустить часть газа и охладить его 6) не меняя массу газа, увеличить его объ",Нет,Нет
vpr_sd_945935,physics,11,"На рисунке изображён фрагмент Периодической системы химических элементов Д. И. Менделеева. Изотоп циркония испытывает β + -распад, при котором образуются позитрон e + , нейтрино и ядро другого элемента. Определите, какой элемент образуется при β + -распаде изотопа циркония.",Нет,Да
vpr_sd_945490,physics,11,"На рисунке показаны спектры поглощения трёх смесей неизвестных газов (Х, Y и Z), а также спектры излучения известных газов 1 и 2. Какая из смесей не содержит газ 1? В качестве ответа запишите букву, обозначающую смесь газов.",Нет,Да
vpr_sd_945463,physics,11,"Камень массой 100 г подбрасывают вертикально вверх, сообщая ему 15 Дж кинетической энергии. Изобразите график зависимости кинетической энергии камня от высоты в процессе его полёта. За начало координат примите точку подбрасывания. (Ускорение свободного падения примите равным 10 м/с 2 .)",Нет,Нет
vpr_sd_945400,physics,11,"В трансформаторе, изображённом на рисунке, на вход А подают переменное напряжение. На обмотках B, C и D возникает ЭДС индукции. Количество витков равно изображённому на рисунке. Расположите обмотки B, C и D в порядке увеличения ЭДС индукции. Запишите в ответе соответствующую последовательность цифр. 1) B 2) C 3) D",Нет,Да
vpr_sd_945169,physics,11,"С помощью динамометра проводились измерения силы. Шкала прибора проградуирована в ньютонах. Погрешность измерений силы равна цене деления шкалы динамометра. Запишите в ответ показания динамометра с учётом погрешности измерений. В ответе укажите значение с учётом погрешности измерений через точку с запятой. Например, если показания прибора (5,0 ± 0,5), то в ответе следует записать «5,0;0,1».",Нет,Да
vpr_sd_945530,physics,11,"Вам необходимо исследовать, как зависит масса тела от его объёма. Имеется следующее оборудование: 1) весы электронные; 2) мерный цилиндр (мензурка); 3) набор из 3 грузов разного объёма, изготовленных из одного и того же вещества; 4) стакан с водой. Опишите порядок проведения исследования. В ответе: 1. Зарисуйте или опишите экспериментальную установку. 2. Опишите порядок действий при проведении исс",Нет,Нет
vpr_sd_945252,physics,11,"Установите соответствие между примерами и физическими явлениями, которые эти при-меры иллюстрируют. Для каждого примера проявления физических явлений из первого столбца подберите соответствующее название физического явления из второго столбца. ПРИМЕРЫ А) маленькие шурупы притягиваются к отвертке Б) если в один сок налить другой, то они смешаются ФИЗИЧЕСКИЕ ЯВЛЕНИЯ 1) магнитные свойства металлов 2)",Нет,Нет
vpr_sd_945553,physics,11,"Термоскоп Галилея В 1597 году Галилей сконструировал термоскоп — первый прообраз современного термометра. Прибор состоял из стеклянной трубки, к концу которой был припаян полый стеклянный шарик. Свободный конец стеклянной трубки опускался в сосуд с водой. Вода поднималась в стеклянной трубке на определённую высоту. Шарик подогревался или охлаждался. При этом изменялась высота столбика воды (см. ри",Нет,Да
vpr_sd_946033,physics,11,"Прочитайте текст и выполните задания 16—18. Наиболее современные марки автомобилей оснащены каталитическими конвертерами, которые делают выхлопные газы менее вредными для людей и окружающей среды. Около 90 % вредных выхлопных газов преобразуется в менее вредные. Ниже приведены некоторые газы, которые поступают в конвертер и выходят из него.",Нет,Да
vpr_sd_945905,physics,11,"Прочитайте текст и выполните задания 16—18. Солнечная система Центральным объектом Солнечной системы является звезда Солнце. В Солнце сосредоточена подавляющая часть всей массы системы (около 99,866%); оно удерживает своим тяготением планеты и прочие тела, принадлежащие к Солнечной системе и вращающиеся вокруг Солнца. В таблице приведены основные характеристики планет Солнечной системы. Сравнитель",Нет,Нет
vpr_sd_945621,physics,11,"Прочитайте перечень понятий, с которыми Вы сталкивались в курсе физики. Испарение эфира, распространение запаха, электронный секундомер, сантиметровая лента, тяготение, эхо, динамометр, барометр. Разделите эти понятия на две группы по выбранному Вами признаку. Запишите в таблицу название каждой группы и понятия, входящие в эту группу. Название группы понятий | Перечень понятий // | // |",Нет,Нет
vpr_sd_945993,physics,11,"Выберите два утверждения, которые верно описывают движение автомобиля, и запишите номера, под которыми они указаны: 1) Максимальная скорость автомобиля за весь период наблюдения составляет 72 км/ч. 2) На первом участке пути автомобиль стоял. 3) За первый участок пути автомобиль проехал 400 м. 4) Через 20 с автомобиль начал двигаться равноускоренно. 5) Максимальное ускорение по модулю равно 3 м/с 2",Нет,Нет
vpr_sd_945352,physics,11,"На столе лежит груз, к которому прикреплена нерастяжимая нить, за которую тянут вверх. Как направлены силы, действующие на груз, лежащий на столе неподвижно? Как изменится картина сил, если известно, что груз оторвался от поверхности стола?",Нет,Да
vpr_sd_945973,physics,11,"Прочитайте текст и вставьте пропущенные слова. Слова в ответе могут повторяться. 1) сохраняется 2) увеличивается 3) уменьшается Санки едут с горки. По мере того, как они съезжают кинетическая энергия санок __________, потенциальная энергия __________. Если пренебречь трением и сопротивлением воздуха, то можно говорить о том, что полная механическая энергия санок __________.",Нет,Нет
vpr_sd_946061,physics,11,"Выберете верные утверждения. На картинке приведен график зависимости температуры вещества от полученного им количества теплоты. Перед тем, как тело начали нагревать, оно находилось в жидком состоянии. 1) На участке графика от 0 до 300 кДж тело нагревается. 2) На участке графика от 0 до 300 кДж тело испаряется. 3) На участке графика от 300 до 1050 кДж тело нагревается. 4) На участке графика от 300 ",Нет,Да
vpr_sd_945536,physics,11,Для предохранения персонала на атомных электростанциях от радиационного облучения реактор окружают биологической защитой. Основными материалами биологической защиты являются: 1) вода; 2) стекловата; 3) теплоизоляционные материалы; 4) бетон. Из предложенного списка выберите два правильных варианта ответа.,Нет,Нет
